Date,SP500,IBOV
2020-07-22,3276.02001953125,104290.0
2020-07-23,3235.659912109375,102293.0
2020-07-24,3215.6298828125,102382.0
2020-07-27,3239.409912109375,104477.0
2020-07-28,3218.43994140625,104109.0
2020-07-29,3258.43994140625,105605.0
2020-07-30,3246.219970703125,105009.0
2020-07-31,3271.1201171875,102912.0
2020-08-03,3294.610107421875,102830.0
2020-08-04,3306.510009765625,101216.0
2020-08-05,3327.77001953125,102802.0
2020-08-06,3349.159912109375,104126.0
2020-08-07,3351.280029296875,102776.0
2020-08-10,3360.469970703125,103444.0
2020-08-11,3333.68994140625,102174.0
2020-08-12,3380.35009765625,102118.0
2020-08-13,3373.429931640625,100461.0
2020-08-14,3372.85009765625,101353.0
2020-08-17,3381.989990234375,99595.0
2020-08-18,3389.780029296875,102065.0
2020-08-19,3374.85009765625,100854.0
2020-08-20,3385.510009765625,101468.0
2020-08-21,3397.159912109375,101521.0
2020-08-24,3431.280029296875,102298.0
2020-08-25,3443.6201171875,102118.0
2020-08-26,3478.72998046875,100627.0
2020-08-27,3484.550048828125,100624.0
2020-08-28,3508.010009765625,102143.0
2020-08-31,3500.31005859375,99369.0
2020-09-01,3526.64990234375,102168.0
2020-09-02,3580.840087890625,101911.0
2020-09-03,3455.06005859375,100721.0
2020-09-04,3426.9599609375,101242.0
2020-09-08,3331.840087890625,100050.0
2020-09-09,3398.9599609375,101292.0
2020-09-10,3339.18994140625,98835.0
2020-09-11,3340.969970703125,98363.0
2020-09-14,3383.5400390625,100275.0
2020-09-15,3401.199951171875,100298.0
2020-09-16,3385.489990234375,99676.0
2020-09-17,3357.010009765625,100098.0
2020-09-18,3319.469970703125,98290.0
2020-09-21,3281.06005859375,96991.0
2020-09-22,3315.570068359375,97294.0
2020-09-23,3236.919921875,95735.0
2020-09-24,3246.590087890625,97012.0
2020-09-25,3298.4599609375,96999.0
2020-09-28,3351.60009765625,94666.0
2020-09-29,3335.469970703125,93580.0
2020-09-30,3363.0,94603.0
2020-10-01,3380.800048828125,95479.0
2020-10-02,3348.419921875,94016.0
2020-10-05,3408.60009765625,96089.0
2020-10-06,3360.969970703125,95615.0
2020-10-07,3419.43994140625,95526.0
2020-10-08,3446.830078125,97920.0
2020-10-09,3477.139892578125,97483.0
2020-10-12,3534.219970703125,
2020-10-13,3511.929931640625,98503.0
2020-10-14,3488.669921875,99334.0
2020-10-15,3483.340087890625,99054.0
2020-10-16,3483.81005859375,98309.0
2020-10-19,3426.919921875,98658.0
2020-10-20,3443.1201171875,100540.0
2020-10-21,3435.56005859375,100552.0
2020-10-22,3453.489990234375,101918.0
2020-10-23,3465.389892578125,101260.0
2020-10-26,3400.969970703125,101017.0
2020-10-27,3390.679931640625,99606.0
2020-10-28,3271.030029296875,95369.0
2020-10-29,3310.110107421875,96582.0
2020-10-30,3269.9599609375,93952.0
2020-11-02,3310.239990234375,
2020-11-03,3369.159912109375,95587.0
2020-11-04,3443.43994140625,97811.0
2020-11-05,3510.449951171875,100774.0
2020-11-06,3509.43994140625,100799.0
2020-11-09,3550.5,103913.0
2020-11-10,3545.530029296875,105351.0
2020-11-11,3572.659912109375,104532.0
2020-11-12,3537.010009765625,102175.0
2020-11-13,3585.14990234375,104512.0
2020-11-16,3626.909912109375,106430.0
2020-11-17,3609.530029296875,107229.0
2020-11-18,3567.7900390625,106483.0
2020-11-19,3581.8701171875,106517.0
2020-11-20,3557.5400390625,
2020-11-23,3577.590087890625,107379.0
2020-11-24,3635.409912109375,109786.0
2020-11-25,3629.64990234375,110133.0
2020-11-26,,110227.0
2020-11-27,3638.35009765625,110575.0
2020-11-30,3621.6298828125,108888.0
2020-12-01,3662.449951171875,111335.0
2020-12-02,3669.010009765625,111814.0
2020-12-03,3666.719970703125,112919.0
2020-12-04,3699.1201171875,113682.0
2020-12-07,3691.9599609375,113625.0
2020-12-08,3702.25,113571.0
2020-12-09,3672.820068359375,112722.0
2020-12-10,3668.10009765625,114992.0
2020-12-11,3663.4599609375,115323.0
2020-12-14,3647.489990234375,114975.0
2020-12-15,3694.6201171875,116146.0
2020-12-16,3701.169921875,117947.0
2020-12-17,3722.47998046875,118157.0
2020-12-18,3709.409912109375,117679.0
2020-12-21,3694.919921875,116016.0
2020-12-22,3687.260009765625,116348.0
2020-12-23,3690.010009765625,117857.0
2020-12-24,3703.06005859375,
2020-12-28,3735.360107421875,119051.0
2020-12-29,3727.0400390625,119475.0
2020-12-30,3732.0400390625,119306.0
2020-12-31,3756.070068359375,
2021-01-04,3700.64990234375,118558.0
2021-01-05,3726.860107421875,119223.0
2021-01-06,3748.139892578125,119851.0
2021-01-07,3803.7900390625,121956.0
2021-01-08,3824.679931640625,125077.0
2021-01-11,3799.610107421875,122807.0
2021-01-12,3801.18994140625,123998.0
2021-01-13,3809.840087890625,122040.0
2021-01-14,3795.5400390625,123481.0
2021-01-15,3768.25,120502.0
2021-01-18,,121242.0
2021-01-19,3798.909912109375,120673.0
2021-01-20,3851.85009765625,119708.0
2021-01-21,3853.070068359375,118443.0
2021-01-22,3841.469970703125,117172.0
2021-01-25,3855.360107421875,
2021-01-26,3849.6201171875,116464.0
2021-01-27,3750.77001953125,115882.0
2021-01-28,3787.3798828125,119314.0
2021-01-29,3714.239990234375,116007.0
