Date,SP500,IBOV,YYYY-MM
2001-07-04,,14056.0,2001-07
2001-07-05,1219.239990234375,14048.0,2001-07
2001-07-06,1190.5899658203125,13907.0,2001-07
2001-07-09,1198.780029296875,,2001-07
2001-07-10,1181.52001953125,13570.0,2001-07
2001-07-11,1180.1800537109375,13812.0,2001-07
2001-07-12,1208.1400146484375,13916.0,2001-07
2001-07-13,1215.6800537109375,14078.0,2001-07
2001-07-16,1202.449951171875,13811.0,2001-07
2001-07-17,1214.43994140625,14169.0,2001-07
2001-07-18,1207.7099609375,13791.0,2001-07
2001-07-19,1215.02001953125,13762.0,2001-07
2001-07-20,1210.8499755859375,14092.0,2001-07
2001-07-23,1191.030029296875,14068.0,2001-07
2001-07-24,1171.6500244140625,13738.0,2001-07
2001-07-25,1190.489990234375,13956.0,2001-07
2001-07-26,1202.9300537109375,13810.0,2001-07
2001-07-27,1205.8199462890625,13910.0,2001-07
2001-07-30,1204.52001953125,13704.0,2001-07
2001-07-31,1211.22998046875,13754.0,2001-07
2001-08-01,1215.9300537109375,13743.0,2001-08
2001-08-02,1220.75,13823.0,2001-08
2001-08-03,1214.3499755859375,13838.0,2001-08
2001-08-06,1200.47998046875,14047.0,2001-08
2001-08-07,1204.4000244140625,14036.0,2001-08
2001-08-08,1183.530029296875,13919.0,2001-08
2001-08-09,1183.4300537109375,13834.0,2001-08
2001-08-10,1190.1600341796875,13915.0,2001-08
2001-08-13,1191.2900390625,13771.0,2001-08
2001-08-14,1186.72998046875,13829.0,2001-08
2001-08-15,1178.02001953125,13659.0,2001-08
2001-08-16,1181.6600341796875,13509.0,2001-08
2001-08-17,1161.969970703125,13044.0,2001-08
2001-08-20,1171.4100341796875,13115.0,2001-08
2001-08-21,1157.260009765625,12892.0,2001-08
2001-08-22,1165.31005859375,12952.0,2001-08
2001-08-23,1162.0899658203125,12751.0,2001-08
2001-08-24,1184.9300537109375,13001.0,2001-08
2001-08-27,1179.2099609375,12996.0,2001-08
2001-08-28,1161.510009765625,13018.0,2001-08
2001-08-29,1148.56005859375,13077.0,2001-08
2001-08-30,1129.030029296875,12892.0,2001-08
2001-08-31,1133.5799560546875,12841.0,2001-08
2001-09-03,,12800.0,2001-09
2001-09-04,1132.93994140625,12767.0,2001-09
2001-09-05,1131.739990234375,12591.0,2001-09
2001-09-06,1106.4000244140623,12255.0,2001-09
2001-09-07,1085.780029296875,,2001-09
2001-09-10,1092.5400390625,11922.0,2001-09
2001-09-12,,11113.0,2001-09
2001-09-13,,10306.0,2001-09
2001-09-14,,10034.0,2001-09
2001-09-17,1038.77001953125,10550.0,2001-09
2001-09-18,1032.739990234375,10554.0,2001-09
2001-09-19,1016.0999755859376,10745.0,2001-09
2001-09-20,984.5399780273438,10543.0,2001-09
2001-09-21,965.7999877929688,10419.0,2001-09
2001-09-24,1003.4500122070312,10533.0,2001-09
2001-09-25,1012.27001953125,10229.0,2001-09
2001-09-26,1007.0399780273438,10006.0,2001-09
2001-09-27,1018.6099853515624,10405.0,2001-09
2001-09-28,1040.93994140625,10636.0,2001-09
2001-10-01,1038.550048828125,10501.0,2001-10
2001-10-02,1051.3299560546877,10351.0,2001-10
2001-10-03,1072.280029296875,10233.0,2001-10
2001-10-04,1069.6300048828123,10062.0,2001-10
2001-10-05,1071.3800048828123,10197.0,2001-10
2001-10-08,1062.43994140625,10095.0,2001-10
2001-10-09,1056.75,10284.0,2001-10
2001-10-10,1080.989990234375,10462.0,2001-10
2001-10-11,1097.4300537109377,10785.0,2001-10
2001-10-12,1091.6500244140623,,2001-10
2001-10-15,1089.97998046875,11329.0,2001-10
2001-10-16,1097.5400390625,11258.0,2001-10
2001-10-17,1077.0899658203123,11271.0,2001-10
2001-10-18,1068.6099853515623,10995.0,2001-10
2001-10-19,1073.47998046875,11332.0,2001-10
2001-10-22,1089.9000244140623,11700.0,2001-10
2001-10-23,1084.780029296875,11613.0,2001-10
2001-10-24,1085.199951171875,11468.0,2001-10
2001-10-25,1100.0899658203123,11724.0,2001-10
2001-10-26,1104.6099853515623,11781.0,2001-10
2001-10-29,1078.300048828125,11377.0,2001-10
2001-10-30,1059.7900390625,11024.0,2001-10
2001-10-31,1059.780029296875,11365.0,2001-10
2001-11-01,1084.0999755859377,11388.0,2001-11
2001-11-02,1087.199951171875,,2001-11
2001-11-05,1102.8399658203123,12165.0,2001-11
2001-11-06,1118.8599853515623,12416.0,2001-11
2001-11-07,1115.800048828125,12616.0,2001-11
2001-11-08,1118.5400390625,12554.0,2001-11
2001-11-09,1120.31005859375,12731.0,2001-11
2001-11-12,1118.3299560546877,12567.0,2001-11
2001-11-13,1139.0899658203125,12918.0,2001-11
2001-11-14,1141.2099609375,12826.0,2001-11
2001-11-15,1142.239990234375,,2001-11
2001-11-16,1138.6500244140625,12883.0,2001-11
2001-11-19,1151.06005859375,12987.0,2001-11
2001-11-20,1142.6600341796875,12638.0,2001-11
2001-11-21,1137.030029296875,12794.0,2001-11
2001-11-22,,13019.0,2001-11
2001-11-23,1150.3399658203125,13424.0,2001-11
2001-11-26,1157.4200439453125,13760.0,2001-11
2001-11-27,1149.5,13603.0,2001-11
2001-11-28,1128.52001953125,13019.0,2001-11
2001-11-29,1140.199951171875,12736.0,2001-11
2001-11-30,1139.449951171875,12932.0,2001-11
2001-12-03,1129.9000244140625,13336.0,2001-12
2001-12-04,1144.800048828125,13147.0,2001-12
2001-12-05,1170.3499755859375,13382.0,2001-12
2001-12-06,1167.0999755859375,13539.0,2001-12
2001-12-07,1158.31005859375,13299.0,2001-12
2001-12-10,1139.9300537109375,13446.0,2001-12
